radio D2(r) 
2 0 
4 1.55943 
6 1.91369 
8 2.2236 
10 2.37263 
12 2.26266 
14 2.35788 
16 2.55492 
18 2.40872 
20 2.38749 
22 2.40638 
24 2.4381 
26 2.40553 
28 2.46274 
30 2.49178 
32 2.50199 
34 2.50836 
36 2.59474 
38 2.49058 
40 2.55028 
42 2.53431 
44 2.56237 
46 2.49179 
48 2.49774 
50 2.52645 
52 2.48341 
54 2.48387 
56 2.49164 
58 2.48298 
60 2.43372 
62 2.50559 
64 2.51646 
66 2.4971 
68 2.54262 
70 2.49428 
72 2.50564 
74 2.58082 
76 2.56316 
78 2.5678 
80 2.66409 
82 2.65219 
84 2.66214 
86 2.68639 
88 2.63951 
90 2.7266 
92 2.71408 
94 2.77416 
96 2.79617 
98 2.8073 
100 2.77139 
102 2.81607 
104 2.82725 
106 2.84875 
108 2.84749 
110 2.88076 
112 2.9265 
114 2.94397 
116 2.91462 
118 2.95486 
120 2.97482 
122 2.95426 
124 2.95572 
126 2.99858 
128 2.98687 
130 2.99727 
132 3.0063 
134 3.00779 
136 3.02259 
138 3.03795 
140 3.00427 
142 3.00911 
144 3.00093 
146 3.02947 
148 3.03376 
150 3.04086 
152 2.9805 
154 2.99016 
156 3.01422 
158 2.98144 
160 2.97473 
162 2.96847 
164 2.95509 
166 2.95511 
168 2.93205 
170 2.93928 
172 2.94082 
174 2.93027 
176 2.93218 
178 2.90894 
180 2.87767 
182 2.89601 
184 2.89434 
186 2.84473 
188 2.87179 
190 2.85154 
192 2.86006 
194 2.86661 
196 2.86439 
198 2.82906 
200 2.84545 
202 2.86045 
204 2.83523 
206 2.8602 
208 2.83041 
210 2.86415 
212 2.85108 
214 2.86315 
216 2.84523 
218 2.85395 
220 2.86801 
222 2.87224 
224 2.85758 
226 2.85235 
228 2.86451 
230 2.87943 
232 2.87191 
234 2.87281 
236 2.87259 
238 2.88768 
240 2.86766 
242 2.88199 
244 2.83775 
246 2.83115 
248 2.81924 
250 2.78867 
252 2.75559 
254 2.73545 
256 2.69807 
258 2.67148 
260 2.65605 
262 2.63544 
264 2.613 
266 2.57482 
268 2.53003 
270 2.51837 
272 2.47336 
274 2.44391 
276 2.40459 
278 2.35611 
280 2.31601 
282 2.28901 
284 2.25215 
286 2.22145 
288 2.17358 
290 2.1495 
292 2.09222 
294 2.0849 
296 2.03849 
298 2.01627 
300 1.97604 
302 1.94317 
304 1.91237 
306 1.88986 
308 1.85582 
310 1.8335 
312 1.79808 
314 1.77082 
316 1.74553 
318 1.71996 
320 1.68018 
322 1.67565 
324 1.64535 
326 1.62908 
328 1.5959 
330 1.57901 
332 1.53492 
334 1.51481 
336 1.48191 
338 1.45636 
340 1.44535 
342 1.41559 
344 1.3829 
346 1.36735 
