RAJ2000,DEJ2000,redshift
129.093602,48.880112,0.118053
129.333969,48.906245,0.118268
129.350815,48.856141,0.118536
182.990895,64.120498,0.109542
183.316143,63.997007,0.102103
184.041,64.122031,0.108652
184.10096,64.057305,0.11076
185.047192,63.975695,0.107096
186.10197,64.038231,0.065003
186.752454,64.04878,0.111074
186.762887,64.077029,0.110643
187.13305,63.947149,0.110882
148.674425,59.441921,0.094093
155.076661,61.049908,0.113702
155.376333,61.224738,0.093255
155.476202,61.206329,0.093633
155.80115,61.216342,0.116571
155.963982,61.307363,0.116185
156.679168,61.534176,0.116904
157.238434,61.525071,0.117475
157.281171,61.547861,0.116859
157.418628,61.629125,0.074108
157.461368,61.654413,0.113497
157.814207,61.667945,0.115011
157.962228,61.843187,0.116878
157.98132,61.834958,0.117265
158.427212,61.798469,0.082708
159.845794,62.147885,0.081961
183.088676,64.482191,0.115967
183.155394,64.552024,0.103673
152.324746,61.015262,0.091567
171.246733,64.314057,0.046924
171.484916,64.331517,0.047158
173.732946,64.401568,0.119367
173.708897,64.46283,0.118649
173.741547,64.426743,0.118474
174.200885,64.468967,0.096815
175.021539,64.534893,0.06202
174.933934,64.549063,0.061761
174.951815,64.590837,0.062837
174.944329,64.583689,0.062505
175.871004,64.672309,0.062339
176.039188,64.62643,0.064916
176.073335,64.560559,0.062658
176.180924,64.583148,0.046021
176.298677,64.683521,0.063114
176.450867,64.584647,0.060374
176.412849,64.734496,0.100662
178.887038,64.791463,0.112294
181.79054,64.94631,0.113354
181.801913,64.963685,0.109346
183.892796,64.893554,0.11128
185.803817,64.798482,0.088731
186.76452,64.978787,0.109911
186.88967,64.79181,0.079904
188.295384,64.829811,0.095306
189.623512,64.773446,0.118739
189.633742,64.769623,0.117746
190.192737,64.899789,0.102011
190.235119,64.882916,0.10182
190.5337,64.77226,0.100086
190.840568,64.710461,0.102513
191.525376,64.767028,0.098348
192.564331,64.782341,0.116016
193.45817,64.715934,0.080266
193.601789,64.69933,0.117064
133.975245,54.039144,0.098448
155.759349,62.25591,0.058568
156.37607,62.280158,0.115711
157.706981,62.618019,0.115735
158.010987,62.659053,0.115573
158.688333,62.83737,0.11536
158.934821,62.881158,0.115601
158.97795,62.865857,0.095889
159.07277,62.88334,0.066054
159.522185,62.919679,0.11776
164.295196,63.750744,0.096572
170.968576,64.574959,0.070874
171.174364,64.603652,0.085683
171.70035,64.78834,0.098869
171.722432,64.81416,0.099179
172.138582,64.737956,0.113234
172.200287,64.680457,0.096268
172.516273,64.852509,0.115069
173.175293,64.745144,0.093749
173.214874,64.828281,0.06318
173.338515,64.932663,0.06292
173.489492,64.937935,0.113793
173.526719,64.945951,0.114324
173.732616,64.94818,0.114013
174.127354,64.869173,0.112806
195.409018,64.99882,0.115644
195.90453,64.980116,0.065467
195.99181,64.940207,0.080683
196.054016,64.99971,0.1057
196.355199,64.925599,0.082064
197.4652,64.831048,0.101336
197.510913,64.850377,0.101884
197.673609,64.871012,0.101488
197.749824,64.736846,0.102269
198.870629,64.726795,0.076886
199.24975,64.728332,0.086716
156.293204,62.719024,0.116309
157.060346,62.946452,0.096193
157.346537,62.942308,0.115936
157.224762,63.06432,0.116082
157.385701,63.078641,0.096341
159.377237,63.380881,0.096745
159.460139,63.38564,0.096365
169.403958,64.951606,0.11404
170.322848,64.932506,0.110491
170.655066,64.958057,0.074052
156.585628,63.4263,0.069547
157.950138,63.657816,0.032935
158.132145,63.679309,0.116868
163.477669,64.685506,0.078985
163.849503,64.724213,0.115153
132.737739,51.097271,0.092828
132.887454,51.193414,0.074188
133.004774,51.325512,0.056569
133.335212,51.496814,0.081736
146.008345,57.720302,0.110335
149.746552,58.999321,0.073156
124.223436,45.22707,0.056774
124.225823,45.263102,0.056792
124.928584,45.784107,0.054365
126.187094,46.907234,0.039959
127.257393,47.800642,0.045224
129.697726,49.568469,0.119036
129.986432,49.689347,0.118141
130.860354,50.419282,0.118417
131.110213,50.533751,0.118195
131.170684,50.578294,0.117012
131.442065,50.714394,0.114945
131.384115,50.84152,0.11833
131.355643,50.812526,0.118109
131.506284,50.80436,0.114808
131.501283,50.82617,0.11474
131.512998,50.824462,0.115277
131.526684,50.84795,0.115564
131.58346,51.034592,0.096999
131.86229,50.926674,0.076725
131.949486,51.23394,0.04864
132.33485,51.236547,0.111932
132.308084,51.388168,0.115179
132.581768,51.423138,0.090051
132.488428,51.558444,0.089632
132.546314,51.579947,0.090393
132.772139,51.713155,0.090155
132.996118,51.871512,0.09778
133.285891,52.041594,0.086272
133.353657,52.064381,0.08774
133.300896,52.097137,0.090282
133.415678,52.130231,0.087737
133.862977,52.22599,0.086467
133.764423,52.289142,0.090396
134.171624,52.402028,0.112676
134.350236,52.522301,0.097407
134.373413,52.509751,0.097323
134.317138,52.7337,0.116208
134.555473,52.720606,0.116737
134.745866,52.943785,0.099834
134.803468,52.979433,0.08502
134.967412,52.978655,0.091186
135.099632,52.957205,0.098768
134.959848,53.107372,0.089999
135.061776,53.068367,0.091848
135.293313,53.220198,0.030163
135.223186,53.083265,0.083651
135.132196,53.197904,0.092621
135.564057,53.459707,0.110164
136.666183,53.967625,0.081616
136.982012,54.059417,0.081118
137.335489,54.427374,0.071729
137.984218,54.513725,0.086586
137.993832,54.737907,0.071775
138.153855,54.705571,0.103489
138.85815,55.059707,0.048267
139.262953,55.363967,0.071373
140.023633,55.55401,0.049099
139.893634,55.583936,0.046295
140.41257,55.720041,0.049499
140.924305,56.039054,0.051596
141.284882,56.260631,0.118251
141.63576,56.26951,0.048889
142.511104,56.649066,0.089407
142.624751,56.936082,0.083605
143.369093,57.066729,0.112722
143.340953,57.066773,0.113389
143.628711,57.149159,0.086692
143.79459,57.174665,0.086239
146.763308,58.373371,0.069532
147.072037,58.581266,0.083115
147.495753,58.641928,0.083056
147.68107,58.664836,0.112626
147.714934,58.656704,0.114444
147.797586,58.663178,0.082562
148.117787,58.841183,0.0737
148.093355,58.939344,0.084672
148.127727,58.947371,0.07398
116.020707,36.977914,0.083962
116.113316,36.98679,0.063811
115.99961,37.049896,0.092737
116.2391,37.23399,0.106914
