radio cant.prom.gal.
2 1.01 
4 1.13 
6 1.53 
8 2.2 
10 3.24 
12 4.69 
14 7.07 
16 9.86 
18 13.68 
20 18.1 
22 23.59 
24 29.48 
26 37.02 
28 45.48 
30 55.08 
32 65.74 
34 77.13 
36 89.99 
38 104.98 
40 120.85 
42 137.53 
44 156.54 
46 177.37 
48 200.4 
50 225.46 
52 250.62 
54 279.86 
56 310.53 
58 342.65 
60 377.45 
62 415.21 
64 455.88 
66 496.48 
68 540.71 
70 586.72 
72 635.98 
74 685.93 
76 738.5 
78 793.26 
80 852.6 
82 911.48 
84 971.95 
86 1037 
88 1105.05 
90 1174.86 
92 1247.88 
94 1322.55 
96 1399.41 
98 1477.89 
100 1558.86 
102 1643.65 
104 1731.08 
106 1820.18 
108 1911.71 
110 2004.84 
112 2102.89 
114 2203.36 
116 2305.86 
118 2413.04 
120 2522.84 
122 2633.35 
124 2751.01 
126 2867.7 
128 2988.2 
130 3113.67 
132 3243.79 
134 3376.35 
136 3512.71 
138 3651.91 
140 3796.58 
142 3945.56 
144 4097.69 
146 4250.65 
148 4408.45 
150 4569.94 
152 4735.99 
154 4905.12 
156 5077.48 
158 5254.26 
160 5433.42 
162 5618.77 
164 5805.87 
166 5996.68 
168 6191.58 
170 6390.47 
172 6590.87 
174 6797.05 
176 7004.94 
178 7219.26 
180 7434.32 
182 7651.77 
184 7872.31 
186 8096.55 
188 8325.37 
190 8554.63 
192 8787.09 
194 9025.2 
196 9266.05 
198 9505.52 
