radio prom 
2 0.12 
4 0.57 
6 1.68 
8 3.65 
10 6.92 
12 11.75 
14 17.75 
16 25.53 
18 35.91 
20 47.69 
22 61.33 
24 77.14 
26 95.37 
28 115.62 
30 138.77 
32 164.8 
34 193.68 
36 225.49 
38 261.54 
40 299.24 
42 341.06 
44 385.95 
46 434.81 
48 485.74 
50 540.22 
52 598.91 
54 660.18 
56 725.06 
58 793.83 
60 866.1 
62 940.59 
64 1021.13 
66 1106.06 
68 1194.4 
70 1288.59 
72 1385.21 
74 1486.52 
76 1595.44 
78 1708.31 
80 1826.14 
82 1953.56 
84 2085.78 
86 2223.97 
88 2369.09 
90 2517.3 
92 2676.37 
94 2840.88 
96 3015.53 
98 3198.38 
100 3388.98 
102 3584.14 
104 3789.69 
106 4003.56 
108 4226.81 
110 4457.88 
112 4699.86 
114 4954.34 
116 5219.34 
118 5490.73 
120 5775.2 
122 6071.29 
124 6375.12 
126 6689 
128 7017.75 
130 7355.74 
132 7705.63 
134 8067.55 
136 8440.83 
138 8827.4 
140 9227.71 
142 9635.35 
144 10055.5 
146 10486.5 
148 10934 
150 11394.8 
152 11869.5 
154 12347.5 
156 12839.7 
158 13348.9 
160 13865.6 
162 14394.3 
164 14935 
166 15486.5 
168 16051.2 
170 16624.9 
172 17213.4 
174 17815.7 
176 18429.6 
178 19057.7 
180 19694.5 
182 20338 
184 20999.4 
186 21674.3 
188 22351.2 
190 23048.3 
192 23754.4 
194 24476.6 
196 25214.6 
198 25966.4 
200 26723 
202 27498.2 
204 28292.2 
206 29093.6 
208 29916.9 
210 30746.3 
212 31600.7 
214 32466.3 
216 33351 
218 34245.5 
220 35158.2 
222 36091.2 
224 37041.7 
226 38003.3 
228 38979.1 
230 39975.4 
232 40993.5 
234 42025.6 
236 43074.8 
238 44140.8 
240 45229.7 
242 46328.2 
244 47449.6 
246 48570.9 
248 49706.5 
250 50854.3 
252 52006.2 
254 53160.7 
256 54322.8 
258 55484.6 
260 56650.2 
262 57824.1 
264 59003.7 
266 60187.9 
268 61369 
270 62543.1 
272 63725.2 
274 64899.1 
276 66071.5 
278 67237.1 
280 68390.7 
282 69535.6 
284 70677.8 
286 71811.7 
288 72940 
290 74053.2 
292 75163 
294 76251.6 
296 77344.6 
298 78420.9 
300 79493 
302 80550.6 
304 81597.4 
306 82633.9 
308 83664.4 
310 84682 
312 85693 
314 86689.6 
316 87676.1 
318 88653.2 
320 89620.4 
322 90569.5 
324 91520 
326 92457.2 
328 93388.8 
330 94304.8 
332 95214.4 
334 96101.5 
336 96979.8 
338 97841.6 
340 98691 
342 99536.1 
344 100366 
346 101179 
348 101984 
